"","ï..samp_date","cnt_date","sample","pres_fact","vol_set_ml","n_bugs","time_d","zoom"
"41","9/3/19","5/24/21","SJR2 site",0.889,18,24,1,100
"42","9/4/19","11/18/21","SJR2 IC-1",0.915,25,24,1,100
"43","9/4/19","11/19/21","SJR2 IC-2",0.919,25,24,1,100
"44","9/4/19","11/21/21","SJR2 IC-3",0.917,25,24,1,100
"45","9/5/19","11/11/21","SJR2 FC-1",0.915,25,24,1,100
"46","9/5/19","11/12/21","SJR2 T24-1",0.915,25,24,1,100
"47","9/5/19","11/14/21","SJR2 FC-2",0.914,25,24,1,100
"48","9/5/19","11/15/21","SJR2 T24-2",0.919,25,24,1,100
"49","9/5/19","11/16/21","SJR2 FC-3",0.918,25,24,1,100
"50","9/5/19","11/17/21","SJR2 T24-3",0.917,25,24,1,100
"51","9/17/19","5/11/21","YBP2 site",0.895,15,24,1,100
"52","9/18/19","8/24/21","YBP2 IC-1",0.914,20,24,1,100
"53","9/18/19","8/26/21","YBP2 IC-2",0.912,17,24,1,100
"54","9/18/19","8/30/21","YBP2 IC-3",0.919,20,24,1,100
"55","9/19/19","8/5/21","YBP2 FC-1",0.914,5,24,1,100
"56","9/19/19","8/7/21","YBP2 T24-1",0.911,8.5,24,1,100
"57","9/19/19","8/9/21","YBP2 FC-2",0.915,9,24,1,100
"58","9/19/19","8/11/21","YBP2 T24-2",0.917,8,24,1,100
"59","9/19/19","8/12/21","YBP2 FC-3",0.924,15,24,1,100
"60","9/19/19","8/16/21","YBP2 T24-3",0.922,15,24,1,100
"61","7/23/19","7/11/21","SJR1 site",0.901,2.5,24,1,400
"62","7/24/19","9/16/21","SJR1 IC-1",0.909,25,24,1,400
"63","7/24/19","9/17/21","SJR1 IC-2",0.911,25,24,1,400
"64","7/24/19","9/20/21","SJR1 IC-3",0.909,28,24,1,400
"65","7/25/19","9/2/21","SJR1 FC-1",0.919,18,24,1,400
"66","7/25/19","9/7/21","SJR1 T24-1",0.918,22,24,1,400
"67","7/25/19","9/8/21","SJR1 FC-2",0.917,22.5,24,1,400
"68","7/25/19","9/10/21","SJR1 T24-2",0.917,22,24,1,400
"69","7/25/19","9/13/21","SJR1 FC-3",0.917,25,24,1,400
"70","7/25/19","9/15/21","SJR1 T24-3",0.906,25,24,1,400
"71","7/30/19","11/18/21","YBP1 site",0.898,25,24,1,400
"72","7/31/19","11/5/21","YBP1 IC-1",0.902,26,24,1,400
"73","7/31/19","11/9/21","YBP1 IC-2",0.907,25,24,1,400
"74","7/31/19","11/10/21","YBP1 IC-3",0.904,25,24,1,400
"75","8/1/19","10/27/21","YBP1 FC-1",0.907,25,24,1,400
"76","8/1/19","10/28/21","YBP1 T24-1",0.919,26,24,1,400
"77","8/1/19","10/29/21","YBP1 FC-2",0.911,26,24,1,400
"78","8/1/19","11/2/21","YBP1 T24-2",0.911,25,24,1,400
"79","8/1/19","11/3/21","YBP1 FC-3",0.918,27,24,1,400
"80","8/1/19","11/4/21","YBP1 T24-3",0.918,25,24,1,400
"81","8/13/19","8/2/21","WLD2 site",0.902,5,24,1,400
"82","8/14/19","10/1/21","WLD2 IC-1",0.917,26,24,1,400
"83","8/14/19","10/5/21","WLD2 IC-2",0.907,25,24,1,400
"84","8/14/19","10/6/21","WLD2 IC-3",0.915,25,24,1,400
"85","8/15/19","9/22/21","WLD2 FC-1",0.904,24,24,1,400
"86","8/15/19","9/23/21","WLD2 T24-1",0.906,26,24,1,400
"87","8/15/19","9/24/21","WLD2 FC-2",0.906,25,24,1,400
"88","8/15/19","9/28/21","WLD2 T24-2",0.906,25,24,1,400
"89","8/15/19","9/29/21","WLD2 FC-3",0.909,25,24,1,400
"90","8/15/19","9/30/21","WLD2 T24-3",0.907,27,24,1,400
"91","8/18/19","8/3/21","LSZ2 site",0.902,5.5,24,1,400
"92","8/19/19","10/21/21","LSZ2 IC-1",0.918,25,24,1,400
"93","8/19/19","10/22/21","LSZ2 IC-2",0.918,25,24,1,400
"94","8/19/19","10/26/21","LSZ2 IC-3",0.922,27,24,1,400
"95","8/20/19","10/12/21","LSZ2 FC-1",0.917,25,24,1,400
"96","8/20/19","10/13/21","LSZ2 T24-1",0.922,24,24,1,400
"97","8/20/19","10/14/21","LSZ2 FC-2",0.912,25,24,1,400
"98","8/20/19","10/15/21","LSZ2 T24-2",0.914,25,24,1,400
"99","8/20/19","10/19/21","LSZ2 FC-3",0.914,25,24,1,400
"100","8/20/19","10/20/21","LSZ2 T24-3",0.915,25,24,1,400
"101","9/3/19","11/16/21","SJR2 site",0.889,25,24,1,400
"102","9/4/19","11/18/21","SJR2 IC-1",0.915,25,24,1,400
"103","9/4/19","11/19/21","SJR2 IC-2",0.919,25,24,1,400
"104","9/4/19","11/21/21","SJR2 IC-3",0.917,25,24,1,400
"105","9/5/19","11/11/21","SJR2 FC-1",0.915,25,24,1,400
"106","9/5/19","11/12/21","SJR2 T24-1",0.915,25,24,1,400
"107","9/5/19","11/14/21","SJR2 FC-2",0.914,25,24,1,400
"108","9/5/19","11/15/21","SJR2 T24-2",0.919,25,24,1,400
"109","9/5/19","11/16/21","SJR2 FC-3",0.918,25,24,1,400
"110","9/5/19","11/17/21","SJR2 T24-3",0.917,25,24,1,400
"111","9/17/19","7/10/21","YBP2 site",0.895,2.5,24,1,400
"112","9/18/19","8/24/21","YBP2 IC-1",0.914,20,24,1,400
"113","9/18/19","8/26/21","YBP2 IC-2",0.912,17,24,1,400
"114","9/18/19","8/30/21","YBP2 IC-3",0.919,20,24,1,400
"115","9/19/19","8/5/21","YBP2 FC-1",0.914,5,24,1,400
"116","9/19/19","8/7/21","YBP2 T24-1",0.911,8.5,24,1,400
"117","9/19/19","8/9/21","YBP2 FC-2",0.915,9,24,1,400
"118","9/19/19","8/11/21","YBP2 T24-2",0.917,8,24,1,400
"119","9/19/19","8/12/21","YBP2 FC-3",0.924,15,24,1,400
"120","9/19/19","8/16/21","YBP2 T24-3",0.922,15,24,1,400
